ano;num;conteudos;gabarito
2009;136;Razão e proporção;E
2009;137;Volume de tronco de cone;C
2009;138;Razão e proporção;D
2009;139;Volume de paralelepípedo e cubo;A
2009;140;Porcentagem e regra de três simples;D
2009;141;Média aritmética e leitura de gráficos;C
2009;142;Análise combinatória: permutação com repetição;D
2009;143;Sistema de equações lineares;E
2009;144;Equação do 1º grau;D
2009;145;Geometria analítica: equações de reta;C
2009;146;Estatística: porcentagem;C
2009;147;Função do 1º grau;A
2009;148;Geometria plana: perímetro e relações métricas;D
2009;149;Interpretação de gráficos de setor;E
2009;150;Porcentagem aplicada a variação de preços;D
2009;151;Estatística: leitura de gráficos e dados;A
2009;152;Função quadrática: ponto de máximo;D
2009;153;Geometria espacial: tronco de cone;E
2009;154;Estatística: porcentagem;D
2009;155;Aritmética: frações e proporção;D
2009;156;Probabilidade;D
2009;157;Geometria plana: ângulos e distância (trigonometria);B
2009;158;Função do 1º grau;A
2009;159;Aritmética: progressão aritmética;E
2009;160;Sistema de equações lineares;D
2009;161;Geometria analítica: ponto médio e distância;D
2009;162;Interpretação de gráficos;A
2009;163;Estatística: média, moda, mediana;B
2009;164;Porcentagem aplicada a questões ambientais;E
2009;165;Geometria espacial: volume de cubo;A
2009;166;Análise e comparação de áreas planas;B
2009;167;Equação do 1º grau: tempo e proporção;E
2009;168;Função quadrática: resolução de equações;D
2009;169;Sequência numérica: múltiplos de 11;D
2009;170;Escala e razão entre áreas;B
2009;171;Geometria plana: redução de área (porcentagem);C
2009;172;Probabilidade ponderada;C
2009;173;Análise combinatória: permutação;E
2009;174;Estatística: leitura de tabela de frequências;B
2009;175;Estatística: moda;B
2009;176;Sequência: Triângulo de Pascal;C
2009;177;Potências de 10 e estimativas;C
2009;178;Comparação volumétrica: estimativa;E
2009;179;Geometria espacial: volume do cubo;B
2009;180;Leitura de gráfico temporal de produção;B
2010;136;Porcentagem (Representação Visual/Geométrica);C
2010;137;Geometria Espacial (Planificação de Sólidos - Cilindros);E
2010;138;Funções (Análise de Gráficos de Crescimento);E
2010;139;Geometria Plana (Cálculo de Áreas / Razão e Proporção);B
2010;140;Geometria Espacial (Volume de Prismas);A
2010;141;Estatística (Média Aritmética);B
2010;142;Razão e Proporção (Divisão Proporcional);D
